attributes,FirstName,LastName,Title,Email,Phone,Country__c,Company,Industry,Status,AnnualRevenue,NumberOfEmployees,Technology__c,Technology_Service__c,RevenueRange,Exists,LeadScore,LeadScoreFinal,LeadCategory
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLELEA4')])",Olive,Arras,Production Supervisor,arras@gmail.com,(444) 444-4444,USA,"Director, Strategic & Technical Operations Planning",Healthcare,Open,1400000.0,56,Marketing,Digital Marketing,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEMEA4')])",Opal,Arrington,Healthcare Coordinator,arrington@gmail.com,(222) 222-2222,USA,"Director, Service Delivery",Hospitality,Open,850000.0,45,Marketing,Digital Marketing,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLENEA4')])",Ophelia,ADAM,Data Scientist,adam@gmail.com,(111) 111-1111,USA,"Managing Director, Health IT Strategy",Insurance,Open,650000.0,20,Marketing,Digital Marketing,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEOEA4')])",Paige,ADAMS,Business Consultant,adams@gmail.com,(333) 333-3333,USA,"Director, Business Systems",Machinery,Open,900000.0,10,Marketing,Digital Marketing,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEPEA4')])",Parker,ADAMSON,"SVP, Production",adamson@gmail.com,(666) 666-6666,USA,"Director, Software Development",Manufacturing,Open,550000.0,60,Marketing,Digital Marketing,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEQEA4')])",Pearl,AITKEN,"SVP, Procurement",aitken@gmail.com,(999) 999-9999,USA,"VP, Strategic Business Planning",Media,Open,180000.0,31,Marketing,Digital Marketing,0 - 500k,No,130,37,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEREA4')])",Olivia,ALEXANDER,"VP, Technology",alexander@gmail.com,(777) 777-7777,USA,"Vice President, Product Management",Not For Profit,Open,1600000.0,89,Marketing,Digital Marketing,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLESEA4')])",Olivia,ALLAN,Director of Vendor Relations,allan@gmail.com,(555) 555-5555,USA,"Director, IT Finance, Strategy & Governance",Other,Open,700000.0,43,Marketing,Digital Marketing,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLETEA4')])",Olivia,ALLISON,CEO,allison@gmail.com,(777) 777-7777,USA,"Vice President, Technology",Recreation,Open,750000.0,45,Marketing,Digital Marketing,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDWEA4')])",Phoenix,Antonie,Regional General Manager,antonie@gmail.com,(111) 111-1111,USA,"Vice President, Dell Technologies Messaging",Media,Open,1400000.0,87,CRM,CRM Software Implementation,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDXEA4')])",Piper,Antonsen,"VP, Facilities",antonsen@gmail.com,(333) 333-3333,USA,"Director, Information Technology (Asia)",Not For Profit,Open,850000.0,90,CRM,CRM Software Implementation,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDYEA4')])",Polly,Antreter,Marketing Manager,antreter@gmail.com,(666) 666-6666,USA,"Director, Strategy Business Development",Other,Open,780000.0,100,CRM,CRM Software Implementation,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDZEA4')])",Poppy,Antrobus,Healthcare Director,antrobus@gmail.com,(999) 999-9999,USA,Network Management Officer (Operating Planning),Recreation,Open,67000.0,34,CRM,CRM Software Implementation,0 - 500k,Yes,50,4,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDaEAO')])",Porsha,Antrup,Sales Manager,antrup@gmail.com,(123) 456-9087,USA,"Global Director, Solutions Delivery Create",Retail,Open,34000.0,60,CRM,CRM Software Implementation,0 - 500k,Yes,50,4,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDbEAO')])",Primrose,Anweiler,Marketing Director,anweiler@gmail.com,(987) 654-1023,USA,"Vice President, Credit Trading Technology",Shipping,Open,970000.0,150,CRM,CRM Integration and Customization,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDcEAO')])",Quinn,Anwick,CEO,anwick@gmail.com,(555) 123-0055,USA,"Director, Innovation & Commercialization Analytics",Technology,Open,98770.0,40,CRM,CRM Integration and Customization,0 - 500k,Yes,50,4,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDdEAO')])",Olivia,Anyounonu,Account Executive,anyounonu@gmail.com,(789) 456-5645,IN,"Manager, Quality System",Telecommunications,Open,970000.0,56,SAP,SAP Implementation and Consulting,500k - 2M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDeEAO')])",sain,Anzengruber,Product Manager,anzengruber@gmail.com,(246) 135-0976,IN,"Vice President, Infrastructure Engineering",Transportation,Open,560000.0,70,SAP,SAP Implementation and Consulting,500k - 2M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDfEAO')])",tali,Apedaile,Financial Analyst,apedaile@gmail.com,(768) 432-7867,IN,"Vice President, State & Local Applications",Utilities,Open,450000.0,60,SAP,SAP Implementation and Consulting,0 - 500k,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDgEAO')])",Rain,Apgar,Marketing Coordinator,apgar@gmail.com,(666) 666-6666,IN,"Associate Director, Customer Experience Technology",Apparel,Open,33000.0,56,SAP,SAP Implementation and Consulting,0 - 500k,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDhEAO')])",Ramona,Appel,Healthcare Director,appel@gmail.com,(555) 123-0055,IN,"Director, Information Technology",Banking,Open,400000.0,80,SAP,SAP Implementation and Consulting,0 - 500k,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDiEAO')])",Rebel,Apperson,Data Scientist,apperson@gmail.com,(111) 111-1111,IN,"Director, Business Capital Information Technology",Biotechnology,Open,290000.0,23,SAP,SAP Implementation and Consulting,0 - 500k,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDjEAO')])",Reese,Apple,"SVP, Production",apple@gmail.com,(987) 654-1023,IN,"Senior Director, Film IT",Chemicals,Open,560000.0,120,SAP,SAP Implementation and Consulting,500k - 2M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDkEAO')])",Remi,Appleby,"SVP, Procurement",appleby@gmail.com,(666) 666-6666,IN,"Director, Business Applications",Communications,Open,870000.0,100,SAP,SAP Customization and Development,500k - 2M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDlEAO')])",Renata,Appledorn,"VP, Technology",appledorn@gmail.com,(123) 456-9087,IN,"Director, Information Technology",Construction,Open,450000.0,300,SAP,SAP Customization and Development,0 - 500k,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDmEAO')])",River,Appleton,Director of Vendor Relations,appleton@gmail.com,(444) 444-4444,IN,"Director, Infrastructure Shared Services",Consulting,Open,560000.0,30,SAP,SAP Customization and Development,500k - 2M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDnEAO')])",Rogue,Aragon,CEO,aragon@gmail.com,(888) 999-0000,IN,"Program Director I, Pgy Residency",Education,Open,75000.0,50,SAP,SAP Customization and Development,0 - 500k,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDoEAO')])",Rory,Arbogast,"VP, Finance",arbogast@gmail.com,(777) 777-7777,IN,"Senior Manager, Global Collaboration Services",Electronics,Open,850000.0,50,SAP,SAP Customization and Development,500k - 2M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDpEAO')])",Rosie,Arbuckle,"VP, Facilities",arbuckle@gmail.com,(123) 456-7890,IN,Sr. Analysist-Biaxin,Energy,Open,78900.0,50,SAP,SAP Customization and Development,0 - 500k,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDqEAO')])",Rani,Arce,"SVP, Operations",arce@gmail.com,(555) 555-5555,IN,"Vice President, Global Information Technology",Engineering,Open,1000000.0,100,SAP,SAP Customization and Development,500k - 2M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDrEAO')])",Rani,Arch,CFO,arch@gmail.com,(888) 999-0000,IN,"Director, IT Planning & Strategy Transformation",Entertainment,Open,500000.0,120,RPA,RPA Consulting and Strategy,0 - 500k,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDsEAO')])",Roux,Archbold,"VP, Production",archbold@gmail.com,(222) 222-2222,IN,"Senior Director, IT US & Canada Site Support & Global IT Site Support",Environmental,Open,2500000.0,100,RPA,RPA Consulting and Strategy,2M - 4M,Yes,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDtEAO')])",Rowan,Archer,"SVP, Administration and Finance",archer@gmail.com,(444) 444-4444,IN,"Director, Security",Finance,Open,3000000.0,200,RPA,RPA Consulting and Strategy,2M - 4M,Yes,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDuEAO')])",Ruby,Archey,CEO,archey@gmail.com,(123) 456-7890,IN,"Vice President, Implementation National Accounts",Food & Beverage,Open,1200000.0,300,RPA,RPA Consulting and Strategy,500k - 2M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDvEAO')])",Rue,Ard,"SVP, Technology",ard@gmail.com,(987) 654-3210,IN,"Associate Director, IT Operations",Government,Open,800000.0,20,RPA,RPA Consulting and Strategy,500k - 2M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDwEAO')])",Sadie,Ardoin,CFO,ardoin@gmail.com,(555) 123-4567,IN,"Associate Director, IT Global Enterprise Services",Healthcare,Open,600000.0,100,RPA,RPA Consulting and Strategy,500k - 2M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDxEAO')])",Sage,Arehart,Regional General Manager,arehart@gmail.com,(111) 222-3333,IN,"Director, Business Process & Analytics",Hospitality,Open,2000000.0,20,RPA,RPA Consulting and Strategy,500k - 2M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDyEAO')])",Saoirse,Arensmith,"VP, Facilities",arensmith@gmail.com,(333) 444-5555,IN,"Director, Information Technology",Insurance,Open,1500000.0,40,RPA,RPA Consulting and Strategy,500k - 2M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLDzEAO')])",Sasha,Arenz,"VP, Administration",arenz@gmail.com,(444) 555-6666,USA,"Senior VP, Television Networks Distribution & CBS Affiliate Relations",Machinery,Open,900000.0,60,RPA,RPA Consulting and Strategy,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLE0EAO')])",Sawyer,Arey,Marketing Director,arey@gmail.com,(777) 888-9999,USA,"Director, Information Technology",Manufacturing,Open,800000.0,60,RPA,Process Analysis and Optimization,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLE1EAO')])",Scarlett,Argabright,Finance Manager,argabright@gmail.com,(222) 333-4444,USA,"Director, Corporate Information Technology",Media,Open,700000.0,60,RPA,Process Analysis and Optimization,500k - 2M,Yes,80,16,Cold Lead
